id;name;description;model_class;manufacturer;model_number;part_number;sku;component_type_id;active;discontinued;end_of_life;release_date;discontinue_date;datasheet_url;manual_url;support_url;warranty_years;expected_lifespan_years;maintenance_interval_months;weight_kg;dimensions_mm;operating_temperature_min;operating_temperature_max;operating_humidity_min;operating_humidity_max;storage_temperature_min;storage_temperature_max;certifications;compliance_standards;msrp;list_price;currency_code;verified;notes;standard_width_inches;standard_depth_inches;typical_capacity_u;max_capacity_u;is_wall_mountable;is_floor_standing;is_enclosed;is_open_frame;is_outdoor_rated;max_weight_capacity_kg;max_power_capacity_watts;has_ventilation;has_cable_management;has_power_distribution;has_cooling_system;has_locks;assembly_time_hours;door_type;cooling_type;switch_class;switch_tier;is_stackable;max_stack_units;rack_units;form_factor;total_ports;gigabit_ports;fast_ethernet_ports;ten_gig_ports;sfp_ports;sfp_plus_ports;console_ports;supports_poe;poe_budget_watts;poe_standard;switching_capacity_gbps;forwarding_rate_mpps;mac_address_table_size;buffer_size_mb;latency_microseconds;max_vlans;supports_spanning_tree;supports_link_aggregation;supports_qos;supports_igmp_snooping;supports_port_mirroring;supports_voice_vlan;supports_acl;layer3_routing
'01932f00-0030-7000-8000-000000000001';'Cisco Catalyst 9200-24P';'24-port PoE+ managed switch';'SWITCH_MODEL';'Cisco';'C9200-24P-A';'C9200-24P-A';'CISCO-C9200-24P';'01932f00-0004-7000-8000-000000000001';true;false;false;'2019-01-15';;'https://cisco.com/c9200/datasheet';'https://cisco.com/c9200/manual';'https://cisco.com/support';3;10;12;4.5;'445x305x44';0;45;10;90;-25;70;'CE,FCC,UL';'IEEE 802.3';2500;2200;'USD';true;'Enterprise-grade access switch';;;;;;;;;;;;;;;;;;;;'MANAGED';'ACCESS';true;8;1;'1U Rackmount';24;24;;4;4;;1;true;370;'802.3at';56;41.6;16000;4;2;4094;true;true;true;true;true;true;true;true
'01932f00-0030-7000-8000-000000000002';'Cisco Catalyst 9200-48P';'48-port PoE+ managed switch';'SWITCH_MODEL';'Cisco';'C9200-48P-A';'C9200-48P-A';'CISCO-C9200-48P';'01932f00-0004-7000-8000-000000000001';true;false;false;'2019-01-15';;'https://cisco.com/c9200/datasheet';'https://cisco.com/c9200/manual';'https://cisco.com/support';3;10;12;5.2;'445x305x44';0;45;10;90;-25;70;'CE,FCC,UL';'IEEE 802.3';3500;3100;'USD';true;'Enterprise-grade access switch';;;;;;;;;;;;;;;;;;;;'MANAGED';'ACCESS';true;8;1;'1U Rackmount';48;48;;4;4;;1;true;740;'802.3at';176;130;16000;4;2;4094;true;true;true;true;true;true;true;true
'01932f00-0030-7000-8000-000000000003';'Ubiquiti UniFi Switch 24 PoE';'24-port PoE managed switch';'SWITCH_MODEL';'Ubiquiti';'USW-24-POE';'USW-24-POE';'UBNT-USW24P';'01932f00-0004-7000-8000-000000000001';true;false;false;'2020-03-01';;;;'https://ui.com/support';2;7;12;3.2;'442x220x44';-5;40;5;95;-40;70;'CE,FCC';'IEEE 802.3';399;379;'USD';true;'SMB managed switch';;;;;;;;;;;;;;;;;;;;'MANAGED';'ACCESS';false;;1;'1U Rackmount';24;24;;2;2;;1;true;95;'802.3af';52;38.6;8000;1;3;4094;true;true;true;true;true;true;false;false
'01932f00-0030-7000-8000-000000000004';'TP-Link TL-SG1024';'24-port unmanaged gigabit switch';'SWITCH_MODEL';'TP-Link';'TL-SG1024';'TL-SG1024';'TPL-SG1024';'01932f00-0004-7000-8000-000000000001';true;false;false;'2018-06-01';;;;'https://tp-link.com/support';3;5;24;2.8;'440x180x44';0;40;10;90;-40;70;'CE,FCC';'IEEE 802.3';89;79;'USD';true;'Basic unmanaged switch';;;;;;;;;;;;;;;;;;;;'UNMANAGED';'ACCESS';false;;1;'1U Rackmount';24;24;;;;;;false;;;48;;;;;;false;false;false;false;false;false;false;false
'01932f00-0030-7000-8000-000000000005';'Cisco ISR 4331';'Integrated Services Router';'ROUTER_MODEL';'Cisco';'ISR4331/K9';'ISR4331/K9';'CISCO-ISR4331';'01932f00-0004-7000-8000-000000000002';true;false;false;'2017-05-01';;'https://cisco.com/isr4331/datasheet';'https://cisco.com/isr4331/manual';'https://cisco.com/support';3;10;12;4.8;'438x445x44';0;40;10;85;-25;65;'CE,FCC,UL';'IEEE 802.3';4500;4000;'USD';true;'Branch office router';;;;;;;;;;;;;;;;;;;;;;;;1;'1U Rackmount';3;3;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000006';'Ubiquiti EdgeRouter 4';'4-port gigabit router';'ROUTER_MODEL';'Ubiquiti';'ER-4';'ER-4';'UBNT-ER4';'01932f00-0004-7000-8000-000000000002';true;false;false;'2018-09-01';;;;'https://ui.com/support';2;7;12;0.5;'135x135x26';-10;40;5;95;-40;70;'CE,FCC';'IEEE 802.3';199;179;'USD';true;'SMB router';;;;;;;;;;;;;;;;;;;;;;;;0;'Desktop';4;4;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000007';'Cisco Aironet 2802I';'Dual-band enterprise access point';'ACCESS_POINT_MODEL';'Cisco';'AIR-AP2802I-A-K9';'AIR-AP2802I-A-K9';'CISCO-AP2802I';'01932f00-0004-7000-8000-000000000003';true;false;false;'2017-11-01';;'https://cisco.com/aironet/datasheet';;'https://cisco.com/support';3;7;12;1.1;'220x220x52';0;40;10;90;-25;70;'CE,FCC,UL';'IEEE 802.11ac';899;799;'USD';true;'Enterprise WiFi 5 AP';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000008';'Ubiquiti UniFi 6 Pro';'WiFi 6 access point';'ACCESS_POINT_MODEL';'Ubiquiti';'U6-Pro';'U6-Pro';'UBNT-U6PRO';'01932f00-0004-7000-8000-000000000003';true;false;false;'2021-03-01';;;;'https://ui.com/support';2;5;12;0.3;'160x160x35';-10;40;5;95;-40;70;'CE,FCC';'IEEE 802.11ax';179;149;'USD';true;'WiFi 6 access point';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000009';'APC NetShelter SX 42U';'42U server rack enclosure';'RACK_MODEL';'APC';'AR3100';'AR3100';'APC-AR3100';'01932f00-0004-7000-8000-000000000006';true;false;false;'2015-01-01';;'https://apc.com/netshelter/datasheet';'https://apc.com/netshelter/manual';'https://apc.com/support';5;20;24;135;'600x1070x2000';10;35;20;80;-40;60;'CE,UL';'EIA-310-D';1500;1300;'USD';true;'Enterprise server rack';19;42;42;42;false;true;true;false;false;1360;10000;true;true;true;true;true;4;'PERFORATED';'PASSIVE';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000010';'APC NetShelter SX 24U';'24U server rack enclosure';'RACK_MODEL';'APC';'AR3104';'AR3104';'APC-AR3104';'01932f00-0004-7000-8000-000000000006';true;false;false;'2015-01-01';;'https://apc.com/netshelter/datasheet';;'https://apc.com/support';5;20;24;85;'600x1070x1200';10;35;20;80;-40;60;'CE,UL';'EIA-310-D';900;800;'USD';true;'Mid-size server rack';19;42;24;24;false;true;true;false;false;680;5000;true;true;false;false;true;2;'PERFORATED';'PASSIVE';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000011';'StarTech 12U Wall Mount';'12U wall-mount network cabinet';'RACK_MODEL';'StarTech';'RK1219WALHM';'RK1219WALHM';'ST-RK1219';'01932f00-0004-7000-8000-000000000007';true;false;false;'2019-06-01';;;;'https://startech.com/support';2;15;24;25;'600x450x600';5;40;10;90;-40;60;'CE,UL';'EIA-310-D';350;299;'USD';true;'Wall mount cabinet';19;18;12;12;true;false;true;false;false;80;2000;true;true;false;false;true;1;'GLASS';'PASSIVE';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000012';'Panduit 24-Port Cat6 Patch Panel';'24-port Cat6 patch panel';'PATCH_PANEL_MODEL';'Panduit';'CP24BLY';'CP24BLY';'PAN-CP24';'01932f00-0004-7000-8000-000000000008';true;false;false;'2016-01-01';;;;'https://panduit.com/support';10;25;;0.8;'483x44x50';-10;60;0;95;-40;70;'UL';'TIA-568-C.2';85;75;'USD';true;'Cat6 patch panel';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000013';'Corning 24-Port LC Fiber Panel';'24-port LC duplex fiber panel';'PATCH_PANEL_MODEL';'Corning';'CCH-01U';'CCH-01U';'CORN-CCH01U';'01932f00-0004-7000-8000-000000000009';true;false;false;'2018-03-01';;;;'https://corning.com/support';15;30;;0.6;'483x44x200';-10;60;0;95;-40;70;'UL';'TIA-568-D';250;220;'USD';true;'Fiber patch panel';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000014';'Belden Cat6A Cable';'Cat6A UTP cable 1000ft';'CABLE_RUN_MODEL';'Belden';'10GXS12';'10GXS12';'BEL-10GXS12';'01932f00-0004-7000-8000-000000000010';true;false;false;'2017-01-01';;;;'https://belden.com/support';25;30;;15;'305m spool';;;;;-20;60;'UL,ETL';'TIA-568-C.2';450;400;'USD';true;'Cat6A cable';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'01932f00-0030-7000-8000-000000000015';'Corning OS2 Fiber Cable';'Single-mode OS2 fiber cable';'CABLE_RUN_MODEL';'Corning';'012T88-33131-29';'012T88';'CORN-OS2-12';'01932f00-0004-7000-8000-000000000010';true;false;false;'2018-01-01';;;;'https://corning.com/support';25;30;;8;'1000m spool';;;;;-40;70;'UL';'ITU-T G.652';800;700;'USD';true;'Single-mode fiber';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

